Type,Title,Dubbed From,Ownership,Language,Country,Date Added,Live Status,Primary Genre,Secondary Genre,Final Genre,Theatrical Release Year,Age Rating,Age score,Run Time,RUN TIME,IMDB Rating,Cast,Synopsis,Keywords2,Keywords3,Keywords4,Keywords5,Age Rating Numeric
Shows,Hello!,,Original,Bengali,India,25-09-2017,Yes,Thriller,,Thriller,,A 18+,5,147 mins,147,8,"Raima Sen, Priyanka Sarkar, Joy Sengupta, Saheb Bhattacharya, Pamela Bhutoria","Nandita starts receiving MMS of her husband's extramarital affair with a mysterious woman Nina. As she tries to identify the sender, she finds herself in a maze.",nandita starts receiving mms her husbands extramarital affair mysterious woman nina she tries identify sender she finds herself maze,nandita starts receiving mms her,"nandita,starts,receiving,mms,her,husbands,extramarital,affair,mysterious,woman,nina,she,tries,identify,sender,she,finds,herself,maze","nandita,starts,receiving,mms,husbands,extramarital,affair,mysterious,woman,nina,she,tries,identify,sender,she,finds,herself,maze",18
Shows,Cartoon,,Original,Bengali,India,26-09-2017,Yes,Horror,,Horror,,U/A 16+,4,128 mins,128,5.9,"Paayel Sarkar, Mainak Banerjee",Cartoonist Aritra’s life turns upside down when mysterious things start happening in his new apartment. Mayhem ensues when a paranormal activist dies suddenly.,cartoonist aritras life turns upside down when mysterious things start happening his new apartment mayhem ensues when paranormal activist dies suddenly,cartoonist aritras life turns upside,"cartoonist,aritras,life,turns,upside,down,when,mysterious,things,start,happening,his,new,apartment,mayhem,ensues,when,paranormal,activist,dies,suddenly","cartoonist,aritras,life,turns,upside,down,mysterious,things,start,happening,new,apartment,mayhem,ensues,paranormal,activist,dies,suddenly",16
Shows,Holy Faak,,Original,Bengali,India,26-09-2017,Yes,Romantic,Comedy,Romantic Comedy,,A 18+,5,161 mins,161,5.1,"Soumya Mukherji, Anamika Chakraborty, Paran Bandopadhyay, Ratna Ghoshal",Lovers turn haters when Diya breaks up with Indra to marry a guy chosen by her father. “Holy Faak” presented by hoichoi is here to turn the world upside down!,lovers turn haters when diya breaks up indra marry guy chosen her father holy faak presented hoichoi here turn world upside down,lovers turn haters when diya,"lovers,turn,haters,when,diya,breaks,up,indra,marry,guy,chosen,her,father,holy,faak,presented,hoichoi,here,turn,world,upside,down","lovers,turn,haters,diya,breaks,up,indra,marry,guy,chosen,father,holy,faak,presented,hoichoi,turn,world,upside,down",18
Shows,Dupur Thakurpo,,Original,Bengali,India,10-01-2017,Yes,Comedy,Adult,Comedy Adult,,A 18+,5,196 mins,196,4,"Swastika Mukherjee, Abhijit Guha, Anindya Chatterjee","When Jibon babu brings home a vivacious wife called Uma, inappropriate things start happening as she becomes the fantasy and obsession of the other young tenants in the house.",when jibon babu brings home vivacious wife called uma inappropriate things start happening she becomes fantasy obsession other young tenants house,when jibon babu brings home,"when,jibon,babu,brings,home,vivacious,wife,called,uma,inappropriate,things,start,happening,she,becomes,fantasy,obsession,other,young,tenants,house","jibon,babu,brings,home,vivacious,wife,called,uma,inappropriate,things,start,happening,she,becomes,fantasy,obsession,other,young,tenants,house",18
Shows,Byomkesh,,Original,Bengali,India,14-10-2017,Yes,Detective,Mystery,Detective Mystery,,U/A 7+,2,112 mins,112,8.2,"Anirban Bhattacharya, Subrat Dutta, Ridhima Ghosh","Set in the 1930s, the series is based on the adventures of Byomkesh and his friend and biographer Ajit, who accompanies Bakshi during his investigations.",set 1930s series based adventures byomkesh his friend biographer ajit who accompanies bakshi during his investigations,set 1930s series based adventures,"set,1930s,series,based,adventures,byomkesh,his,friend,biographer,ajit,who,accompanies,bakshi,during,his,investigations","set,1930s,series,based,adventures,byomkesh,friend,biographer,ajit,who,accompanies,bakshi,during,investigations",7
Shows,Paranoia,,Original,Bengali,India,11-12-2017,Yes,Horror,Psychological,Horror Psychological,,A 18+,5,79 mins,79,,"Kamaleswar Mukherjee, Saayoni Ghosh, Rayati Battacharya Basu, Anindya Sain","A collection of stories of four people dealing with human emotions entrapped in a continuous maze of dilutions, unjustified, and betrayal from the surrounding.",collection stories four people dealing human emotions entrapped continuous maze dilutions unjustified betrayal surrounding,collection stories four people dealing,"collection,stories,four,people,dealing,human,emotions,entrapped,continuous,maze,dilutions,unjustified,betrayal,surrounding","collection,stories,four,people,dealing,human,emotions,entrapped,continuous,maze,dilutions,unjustified,betrayal,surrounding",18
Shows,Stand up,,Original,Bengali,India,11-12-2017,Yes,Reality TV,Stand-up comedy,Reality TV Stand-up comedy,,A 18+,5,42 mins,42,,"Chandradoy Pal, Dipangshu Acharya, Yashoroop Dey","Enjoy a fun ride with an outburst of comedy that will leave you in splits, with significance of pre-existing notions adding to the wit. Enjoyment is guaranteed!",enjoy fun ride outburst comedy will leave you splits significance preexisting notions adding wit enjoyment guaranteed,enjoy fun ride outburst comedy,"enjoy,fun,ride,outburst,comedy,will,leave,you,splits,significance,preexisting,notions,adding,wit,enjoyment,guaranteed","enjoy,fun,ride,outburst,comedy,leave,you,splits,significance,preexisting,notions,adding,wit,enjoyment,guaranteed",18
Shows,Bhootoorey,,Original,Bengali,India,11-12-2017,Yes,Horror,,Horror,,U/A 16+,4,70 mins,70,6.4,"Jit Das, Triparna Bardhan, Rob Dey, Sharmistha Pandey","Following four friends in quest for the supernatural across various popular ""haunted"" places of West Bengal, the series takes us on a chilling journey.",following four friends quest supernatural across various popular haunted places west bengal series takes us chilling journey,following four friends quest supernatural,"following,four,friends,quest,supernatural,across,various,popular,haunted,places,west,bengal,series,takes,us,chilling,journey","following,four,friends,quest,supernatural,across,various,popular,haunted,places,west,bengal,series,takes,us,chilling,journey",16
Shows,Bouma Detective,,Original,Bengali,India,12-03-2017,Yes,Detective,Mystery,Detective Mystery,,U/A 16+,4,166 mins,166,6.2,"Aparajita Addhya, Rohit Roy","Simple homemaker Rohini decides to take on the role of a detective, after her superstar husband Ranojay is accused of murdering his co-actor.",simple homemaker rohini decides take role detective after her superstar husband ranojay accused murdering his coactor,simple homemaker rohini decides take,"simple,homemaker,rohini,decides,take,role,detective,after,her,superstar,husband,ranojay,accused,murdering,his,coactor","simple,homemaker,rohini,decides,take,role,detective,after,superstar,husband,ranojay,accused,murdering,coactor",16
Shows,Gariahater Ganglords,,Original,Bengali,India,13-01-2018,Yes,Comedy,,Comedy,,A 18+,5,209 mins,209,4.8,"Sourav Das, Anindita Bose, Ayan Bhattacharjee, Debmalya Gupta","Buchku comes to Kolkata for higher studies, and starts staying with his cousin Jonny and his friend Bunty. Little does he know, that they are gangsters!",buchku comes kolkata higher studies starts staying his cousin jonny his friend bunty little does he know they are gangsters,buchku comes kolkata higher studies,"buchku,comes,kolkata,higher,studies,starts,staying,his,cousin,jonny,his,friend,bunty,little,does,he,know,they,are,gangsters","buchku,comes,kolkata,higher,studies,starts,staying,cousin,jonny,friend,bunty,little,he,know,they,gangsters",18
